City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Cabedelo,40,BR,1608171074,83,-6.98,-34.83,26.0,3.1
Qaanaaq,0,GL,1608171074,69,77.48,-69.36,-17.38,3.29
Mount Isa,79,AU,1608171000,34,-20.73,139.5,36.0,2.6
Kenai,90,US,1608171074,92,60.55,-151.26,-4.44,3.1
Tura,0,IN,1608171075,55,25.52,90.22,17.21,0.73
Gamba,100,GA,1608171075,96,-2.65,10.0,23.61,1.91
Saint George,1,US,1608170952,33,37.1,-113.58,7.0,1.5
Faanui,100,PF,1608171075,76,-16.48,-151.75,26.98,8.73
Kothi,0,IN,1608171075,51,24.75,80.78,11.9,2.87
Bluff,0,NZ,1608171075,63,-46.6,168.33,15.56,2.68
Kamina,100,CD,1608171075,97,-8.74,24.99,17.28,1.2
Kaitangata,7,NZ,1608171076,59,-46.28,169.85,13.89,4.02
Vila,75,PT,1608171076,100,42.03,-8.16,10.0,3.1
Kahului,40,US,1608171076,58,20.89,-156.47,28.0,9.3
Ketchikan,90,US,1608170938,100,55.34,-131.65,4.0,2.6
Flinders,94,AU,1608171076,80,-34.58,150.86,26.11,6.26
Broome,90,US,1608171076,85,42.25,-75.83,-6.11,5.1
Yulara,8,AU,1608171076,33,-25.24,130.99,32.0,7.2
Lüderitz,0,NA,1608171077,82,-26.65,15.16,16.0,1.0
Koumac,100,NC,1608171077,57,-20.57,164.28,27.92,4.54
Waingapu,100,ID,1608171077,68,-9.66,120.26,29.62,2.31
George Town,20,MY,1608171077,94,5.41,100.34,27.0,1.5
Hithadhoo,13,MV,1608171077,71,-0.6,73.08,27.62,4.53
Bajil,0,YE,1608171077,71,15.06,43.29,22.77,0.81
Cayenne,0,GF,1608171078,94,4.93,-52.33,24.0,1.5
Fare,100,PF,1608171078,77,-16.7,-151.02,27.41,8.58
Jumla,0,NP,1608171078,43,29.27,82.18,0.64,2.33
Tiksi,100,RU,1608171078,90,71.69,128.87,-25.48,1.2
Salalah,20,OM,1608171078,64,17.02,54.09,22.0,3.1
Port Elizabeth,20,ZA,1608171078,93,-33.92,25.57,18.0,6.2
Igarka,100,RU,1608171078,90,67.47,86.58,-22.17,8.77
Waitati,87,NZ,1608171078,72,-45.75,170.57,11.11,3.58
Honolulu,20,US,1608170841,54,21.31,-157.86,29.0,7.7
Souillac,75,MU,1608171079,94,-20.52,57.52,24.0,2.1
Bathsheba,40,BB,1608171079,74,13.22,-59.52,27.0,7.2
Labuhan,87,ID,1608171079,79,-6.88,112.21,27.08,2.62
Ouadda,28,CF,1608171079,23,8.08,22.4,21.36,2.77
Avarua,100,CK,1608171079,74,-21.21,-159.78,29.0,5.1
Vestmanna,100,FO,1608171079,87,62.16,-7.17,9.0,5.1
Cidreira,100,BR,1608171080,91,-30.18,-50.21,22.8,3.67
Kwinana,0,AU,1608171080,41,-32.25,115.77,25.0,7.2
Pimentel,34,PE,1608171080,83,-6.84,-79.93,20.06,5.42
Nueva Guinea,16,NI,1608171080,95,11.69,-84.46,21.81,2.38
Palu,100,ID,1608171080,57,-0.89,119.87,30.62,1.53
Mayo,90,US,1608171080,100,38.89,-76.51,3.0,4.6
Dashitou,0,CN,1608171081,80,43.31,128.51,-12.5,5.53
Decatur,90,US,1608170863,86,39.84,-88.95,-1.0,5.1
Medford,90,US,1608170892,93,42.33,-122.88,7.22,2.28
Russell,75,US,1608171081,87,32.35,-85.2,9.0,3.49
Vila Franca do Campo,20,PT,1608171081,93,37.72,-25.43,17.0,9.3
Kandi,13,BJ,1608171081,23,11.13,2.94,21.39,2.0
Kavieng,98,PG,1608171081,67,-2.57,150.8,29.83,3.03
Iqaluit,75,CA,1608171082,65,63.75,-68.51,-16.0,5.7
Ascension,90,US,1608171082,70,30.22,-90.9,7.0,3.1
Tirlyanskiy,100,RU,1608171082,95,54.21,58.58,-7.09,1.69
Auki,8,SB,1608171082,64,-8.77,160.7,30.75,3.68
Oktyabr'skoye,100,RU,1608171082,90,43.06,44.74,0.0,1.0
Vila Velha,0,BR,1608171031,83,-20.33,-40.29,25.0,3.6
Quryq,99,KZ,1608171083,78,43.2,51.65,2.31,7.33
Vaini,75,TO,1608171083,74,-21.2,-175.2,27.0,4.1
Salinópolis,84,BR,1608171083,78,-0.61,-47.36,27.12,4.83
Sørland,4,NO,1608171083,74,67.67,12.69,3.48,4.27
Chegdomyn,94,RU,1608171083,81,51.12,133.02,-26.77,0.34
San Andrés,20,CO,1608170934,78,12.58,-81.7,28.0,3.6
Grand Baie,9,MU,1608171084,86,-20.02,57.58,23.89,2.24
Rafsanjān,0,IR,1608171084,52,30.41,55.99,8.29,1.24
Kiryat Gat,9,IL,1608170880,100,31.61,34.76,13.33,1.84
Kathu,40,TH,1608171084,83,7.92,98.33,30.0,1.0
East London,0,ZA,1608171084,82,-33.02,27.91,19.28,2.45
Kudahuvadhoo,9,MV,1608171084,69,2.67,72.89,27.76,2.54
Ponta Delgada,20,PT,1608171085,93,37.73,-25.67,17.0,9.3
Córdoba,0,AR,1608171032,52,-31.41,-64.18,25.0,3.1
Dunedin,75,NZ,1608171085,72,-45.87,170.5,11.11,3.58
Bengkulu,50,ID,1608171085,74,-3.8,102.27,27.37,4.7
Saldanha,51,ZA,1608171085,87,-33.01,17.94,15.0,4.6
Lavaca,1,US,1608170944,65,28.61,-96.63,7.0,2.6
Santa Catalina,20,PH,1608171086,70,9.33,122.86,30.0,2.1
Ngunguru,0,NZ,1608171086,56,-35.62,174.5,21.05,1.42
Bambous Virieux,75,MU,1608171086,94,-20.34,57.76,24.0,2.1
Bonthe,95,SL,1608171086,88,7.53,-12.51,25.18,2.79
Adré,0,TD,1608171086,32,13.47,22.2,16.07,6.78
Dicabisagan,92,PH,1608171086,82,17.08,122.42,25.58,3.61
Fengzhen,63,CN,1608171086,86,40.44,113.15,-12.93,0.67
Cherskiy,97,RU,1608171087,87,68.75,161.3,-29.23,1.94
Lengshuijiang,100,CN,1608170949,72,27.69,111.43,3.25,0.82
Coquimbo,76,CL,1608171087,86,-29.95,-71.34,13.64,1.28
Atuona,15,PF,1608171087,78,-9.8,-139.03,25.89,9.16
Emba,100,KZ,1608171087,91,48.83,58.14,-9.18,4.31
Cockburn Town,40,TC,1608171033,73,21.46,-71.14,25.0,3.1
Zhangjiakou,0,CN,1608171087,74,40.81,114.88,-9.83,1.94
Mount Gambier,75,AU,1608171088,88,-37.83,140.77,17.0,7.2
Haines Junction,100,CA,1608171088,84,60.75,-137.51,-14.0,0.62
Sabzawār,92,IR,1608171088,69,36.21,57.68,3.73,0.44
Egvekinot,79,RU,1608171088,90,66.32,-179.17,-16.46,8.01
Vrangel',0,RU,1608171088,75,42.73,133.08,-9.0,6.85
Lahaina,40,US,1608171088,61,20.88,-156.68,28.0,7.2
Eskişehir,90,TR,1608171089,93,39.78,30.52,4.0,2.1
Provideniya,90,RU,1608171089,85,64.38,-173.3,-7.0,8.0
Yar-Sale,100,RU,1608171089,95,66.83,70.83,-13.22,7.42
Fortuna,90,US,1608171089,93,40.6,-124.16,13.33,6.2
San Francisco,100,US,1608170872,72,37.77,-122.42,13.33,0.49
Atar,0,MR,1608171089,31,20.52,-13.05,18.56,4.26
Half Moon Bay,90,US,1608170843,87,37.46,-122.43,13.33,2.6
Salair,100,RU,1608171089,94,54.23,85.8,-12.45,6.88
Manggar,100,ID,1608171090,74,-2.88,108.27,28.41,3.49
Villa Carlos Paz,0,AR,1608171086,30,-31.42,-64.5,25.0,2.05
Ardakān,20,IR,1608171090,69,32.31,54.02,2.0,1.0
Bud,90,US,1608171090,86,39.45,-86.18,-1.67,1.5
Hambantota,75,LK,1608171090,100,6.12,81.12,22.0,1.0
Baykit,100,RU,1608171090,85,61.67,96.37,-24.5,1.42
Port Augusta,90,AU,1608171090,68,-32.5,137.77,25.56,6.7
Talnakh,75,RU,1608171090,83,69.49,88.4,-23.0,5.0
Assiut,0,EG,1608171091,76,27.18,31.18,9.0,3.6
Azángaro,100,PE,1608171091,67,-14.92,-70.22,9.0,0.28
Beloha,6,MG,1608171091,82,-25.17,45.05,21.05,0.84
Bafoulabé,0,ML,1608171091,28,13.81,-10.83,25.3,1.83
Narsaq,100,GL,1608171091,38,60.92,-46.05,4.0,18.0
Longyearbyen,90,SJ,1608171091,72,78.22,15.64,-12.0,6.2
Touros,40,BR,1608171091,83,-5.2,-35.46,27.0,3.6
Eureka,100,US,1608171092,95,40.8,-124.16,13.33,2.24
Bairiki Village,40,KI,1608171092,83,1.33,172.98,28.0,5.7
North Bend,90,US,1608171092,93,43.41,-124.22,12.22,6.2
Saint-François,4,FR,1608171092,100,46.42,3.91,5.0,1.0
Port Blair,100,IN,1608171092,75,11.67,92.75,28.13,4.82
Horsham,40,GB,1608171092,87,51.06,-0.33,9.0,3.1
Clifton,90,US,1608171092,85,40.86,-74.16,-3.89,4.6
Uzhur,100,RU,1608171093,94,55.3,89.83,-12.76,2.95
College,75,US,1608171093,49,64.86,-147.8,-18.0,4.6
Kropotkin,90,RU,1608171093,93,45.44,40.58,0.64,2.03
Nhulunbuy,75,AU,1608171093,66,-12.23,136.77,30.0,5.1
Nome,75,US,1608171093,78,64.5,-165.41,-11.0,6.2
Namatanai,99,PG,1608171093,69,-3.67,152.43,29.72,1.82
Sakakah,0,SA,1608170797,61,29.97,40.21,9.0,2.6
Kang,91,BW,1608171094,70,-23.68,22.79,20.72,6.08
Ola,100,RU,1608171094,86,59.58,151.28,-20.41,6.97
Yellowknife,20,CA,1608171094,65,62.46,-114.35,-40.0,3.6
Vardø,99,NO,1608171094,88,70.37,31.11,-2.66,7.1
Oistins,40,BB,1608171094,74,13.07,-59.53,27.0,7.2
Nanortalik,100,GL,1608171094,90,60.14,-45.24,-1.98,3.49
Kovdor,0,RU,1608171095,96,67.57,30.48,-11.29,2.89
Wenling,100,CN,1608171095,66,28.37,121.36,7.22,4.97
Pangnirtung,98,CA,1608171095,83,66.15,-65.71,-21.88,1.65
Ayagoz,0,KZ,1608171095,85,47.97,80.44,-17.96,1.67
Shache,63,CN,1608170990,96,38.42,77.24,-7.4,2.15
Torbay,90,CA,1608171095,68,47.67,-52.73,-2.78,17.5
The Valley,20,AI,1608171095,78,18.22,-63.06,26.0,3.1
Ancud,0,CL,1608171096,70,-41.87,-73.82,10.0,2.6
Uddevalla,100,SE,1608171096,93,58.35,11.94,6.11,3.6
Le Vauclin,20,MQ,1608171096,83,14.55,-60.84,26.0,3.6
Esperance,90,AU,1608171096,52,-33.87,121.9,19.0,4.1
San Policarpo,37,PH,1608171096,76,12.18,125.51,28.48,8.29
Chabahar,10,IR,1608171096,35,25.29,60.64,18.75,2.38
Addison,90,US,1608171088,69,41.93,-87.99,1.11,3.1
Arlit,0,NE,1608171097,25,18.74,7.39,18.83,3.55
Port Macquarie,49,AU,1608171097,69,-31.43,152.92,28.89,0.89
Banamba,32,ML,1608171097,24,13.55,-7.45,23.29,2.21
Tuatapere,80,NZ,1608171097,63,-46.13,167.68,15.56,2.68
Flin Flon,100,CA,1608171097,92,54.77,-101.86,-19.05,2.03
Januária,100,BR,1608171098,78,-15.48,-44.37,21.54,1.34
Ponta do Sol,40,PT,1608171098,67,32.67,-17.1,17.0,2.1
Vao,44,NC,1608171098,71,-22.67,167.48,24.67,8.48
Toamasina,40,MG,1608171098,94,-18.17,49.38,23.0,2.1
Grand Gaube,11,MU,1608171098,86,-20.01,57.66,23.89,2.24
Hanting,0,CN,1608171098,64,36.77,119.21,0.59,1.75
Geraldton,0,AU,1608171086,47,-28.77,114.6,26.0,7.2
Suntar,80,RU,1608171099,84,62.14,117.63,-32.06,2.52
Kadirli,54,TR,1608171099,82,37.37,36.1,12.78,4.02
Hong Kong,42,HK,1608170916,76,22.29,114.16,14.44,3.67
Lata,0,PT,1608171099,96,40.16,-8.33,6.11,1.16
Aykhal,90,RU,1608171099,66,66.0,111.5,-35.0,1.0
Vestmannaeyjar,100,IS,1608171099,70,63.44,-20.27,4.81,4.28
Neusiedl am See,75,AT,1608171099,93,47.94,16.83,2.22,1.0
Saint-Philippe,90,RE,1608171100,64,-21.36,55.77,24.0,2.1
Igrim,82,RU,1608171100,93,63.19,64.42,-10.69,4.09
Salmon Arm,100,CA,1608171100,100,50.7,-119.3,1.11,1.0
Mitsamiouli,86,KM,1608171100,69,-11.38,43.28,27.64,2.22
Channel-Port aux Basques,80,CA,1608171100,95,47.57,-59.14,-3.89,13.89
Kavaratti,72,IN,1608171100,72,10.57,72.64,27.51,3.05
Tasiilaq,97,GL,1608171100,53,65.61,-37.64,-4.0,9.3
Adrar,0,MR,1608171101,28,20.5,-10.07,18.73,4.36
Miles City,1,US,1608171101,93,46.41,-105.84,0.0,4.1
Kaeo,5,NZ,1608171101,48,-35.1,173.78,22.47,2.52
Sterling,90,US,1608171101,98,39.01,-77.43,0.56,6.7
Hofn,100,IS,1608171101,89,64.25,-15.21,4.06,8.13
Ribeira Grande,100,PT,1608171101,89,38.52,-28.7,17.73,10.26
Magadan,100,RU,1608171101,85,59.57,150.8,-19.47,6.33
Kalangala,54,UG,1608171102,74,-0.31,32.23,21.81,3.64
Chapais,90,CA,1608170934,75,49.78,-74.85,-27.0,1.5
Puerto Quijarro,100,BO,1608171102,54,-17.78,-57.77,28.78,0.94
Ilulissat,42,GL,1608171102,52,69.22,-51.1,-8.0,0.5
Roanoke,90,US,1608171030,97,37.27,-79.94,1.11,2.1
Tekāri,75,IN,1608171102,87,24.93,84.83,15.0,2.82
Lebu,32,CL,1608171102,80,-37.62,-73.65,12.12,8.08
Jennersdorf,100,AT,1608171102,99,46.94,16.14,1.11,0.58
Isangel,10,VU,1608171103,64,-19.55,169.27,27.01,8.29
Kunming,0,CN,1608171103,100,25.04,102.72,15.56,5.0
Gilgit,0,PK,1608171103,55,35.92,74.31,-7.79,1.9
Chokurdakh,83,RU,1608171103,90,70.63,147.92,-24.18,3.92
Sorong,100,ID,1608171103,74,-0.88,131.25,28.93,3.24
Katsuura,0,JP,1608171103,21,35.13,140.3,9.44,1.34
Hasaki,20,JP,1608171103,38,35.73,140.83,7.22,4.6
Hamilton,90,US,1608170630,96,39.18,-84.53,0.56,3.6
Rosarito,1,MX,1608171104,36,32.33,-117.03,17.0,0.99
Samarai,96,PG,1608171104,67,-10.62,150.67,28.48,1.86
San Quintín,0,MX,1608171104,53,30.48,-115.95,15.42,3.94
North Platte,1,US,1608171054,79,41.12,-100.77,1.11,3.1
Lethem,40,GY,1608171104,81,3.38,-59.8,25.26,3.93
Port Lincoln,99,AU,1608171105,62,-34.73,135.87,16.11,6.3
Saint-Pierre,90,RE,1608171105,64,-21.34,55.48,24.0,2.1
Canavieiras,100,BR,1608171105,84,-15.68,-38.95,23.08,0.64
Dawei,4,MM,1608171105,62,14.08,98.2,27.76,2.32
Tottori-shi,75,JP,1608171065,70,35.5,134.23,2.0,3.1
Belaya Gora,100,RU,1608171105,88,68.53,146.42,-27.64,1.93
Avilés,0,ES,1608171031,66,43.55,-5.92,9.0,5.7
Meulaboh,95,ID,1608171106,86,4.14,96.13,25.73,2.63
Chicama,100,PE,1608171106,74,-7.84,-79.15,21.59,2.66
Quito,75,EC,1608171061,93,-0.23,-78.52,14.0,2.1
Buenos Aires,0,AR,1608170962,60,-34.61,-58.38,22.22,7.2
Besuki,92,ID,1608171106,72,-7.73,113.7,28.33,1.14
Annau,99,TM,1608171106,100,37.89,58.52,-4.0,3.1
Teruel,0,ES,1608171106,93,40.67,-0.67,5.0,2.1
Coahuayana Viejo,5,MX,1608171106,83,18.73,-103.68,21.0,0.46
Ahipara,0,NZ,1608171107,58,-35.17,173.17,20.39,4.67
Vaitape,100,PF,1608171107,75,-16.52,-151.75,27.47,8.71
Peterhead,40,GB,1608171107,81,57.51,-1.8,8.33,7.2
Leningradskiy,100,RU,1608171107,94,69.38,178.42,-9.46,12.58
La Ronge,100,CA,1608171107,83,55.1,-105.28,-21.0,1.0
Gizo Government Station,76,SB,1608171107,72,-8.1,156.84,29.65,4.65
Balezino,36,RU,1608171107,95,57.98,53.01,-12.47,3.0
Methóni,1,GR,1608171107,100,36.82,21.7,12.78,1.0
Maningrida,94,AU,1608171108,62,-12.07,134.27,31.64,0.83
Karratha,0,AU,1608171108,54,-20.74,116.85,31.21,3.22
May Pen,20,JM,1608171108,74,17.96,-77.25,27.0,7.7
Ocós,20,GT,1608171108,83,14.51,-92.19,26.0,4.13
Biak,100,ID,1608171108,66,-0.91,122.88,29.46,0.61
Takaka,4,NZ,1608171108,65,-40.85,172.8,23.33,1.79
Bilma,0,NE,1608171108,30,18.69,12.92,16.67,3.09
Bell Ville,0,AR,1608171108,52,-32.63,-62.69,19.44,0.89
Adelaide,75,AU,1608171109,59,-34.93,138.6,21.11,9.3
Sechura,98,PE,1608171109,72,-5.56,-80.82,22.05,5.69
Yazykovo,100,RU,1608171109,98,55.22,56.14,-5.65,4.05
Sur,29,OM,1608171109,55,22.57,59.53,19.45,2.64
Kirya,14,TZ,1608171109,83,-3.92,37.48,21.81,0.63
Richards Bay,65,ZA,1608171109,85,-28.78,32.04,19.46,1.92
Ambilobe,0,MG,1608171109,91,-13.2,49.05,22.98,0.96
Constitución,0,CL,1608171109,67,-35.33,-72.42,13.37,4.35
Maniitsoq,14,GL,1608171110,85,65.42,-52.9,-3.44,4.96
Maputi,66,PH,1608171110,80,8.45,124.29,27.78,2.24
Pedasí,63,PA,1608171110,81,7.53,-80.03,25.82,2.91
Waipawa,85,NZ,1608171110,87,-41.41,175.52,18.33,7.7
Mandurah,0,AU,1608170826,45,-32.55,115.7,25.56,0.45
Carballo,0,ES,1608171110,87,43.21,-8.69,9.0,2.6
Tumaco,86,CO,1608171110,88,1.8,-78.82,24.3,2.28
Kirakira,28,SB,1608171111,71,-10.45,161.92,30.15,2.28
San Cristobal,100,VE,1608170839,89,7.77,-72.22,18.22,0.6
Yerbogachën,100,RU,1608171111,87,61.28,108.01,-22.47,4.48
Tilichiki,100,RU,1608171111,94,60.47,166.1,-16.56,5.63
Touba,100,CI,1608171111,87,8.28,-7.68,22.03,0.73
Port Hardy,90,CA,1608171111,87,50.7,-127.42,8.0,6.2
Chimbote,100,PE,1608171112,82,-9.09,-78.58,20.59,3.12
Mongu,100,ZM,1608171112,94,-15.25,23.13,20.04,1.15
Kumul,0,CN,1608171112,73,42.8,93.45,-9.52,1.28
Slave Lake,75,CA,1608171112,85,55.28,-114.77,-12.0,4.6
Namuac,100,PH,1608171112,86,18.61,121.17,24.58,7.75
Wynyard,85,AU,1608171112,87,-41.0,145.72,16.67,1.34
Methven,100,NZ,1608171113,87,-43.63,171.65,13.33,0.45
Codajás,10,BR,1608170914,91,-3.84,-62.06,23.45,1.24
Ugoofaaru,69,MV,1608171113,70,5.67,73.0,27.65,3.42
Fallon,75,US,1608171113,80,39.47,-118.78,5.0,3.1
Beringovskiy,100,RU,1608171113,95,63.05,179.32,-4.69,8.95
La Palma,1,US,1608171113,45,33.85,-118.05,18.0,2.02
Zambezi,100,ZM,1608171113,95,-13.54,23.1,18.82,3.13
Al Bardīyah,78,LY,1608171113,76,31.76,25.09,15.79,3.25
Rincon,90,US,1608170942,93,32.3,-81.24,8.0,5.1
Grindavik,0,IS,1608171114,80,63.84,-22.43,2.0,4.6
Barrhead,75,GB,1608171114,87,55.8,-4.39,8.0,8.2
At-Bashi,0,KG,1608171114,71,41.17,75.81,-18.95,0.48
Acaraú,100,BR,1608170948,82,-2.89,-40.12,26.43,5.48
Tevaitoa,100,PF,1608171114,76,-16.78,-151.5,27.5,8.62
Biarritz,75,FR,1608171114,87,43.48,-1.56,12.22,3.1
Anloga,20,GH,1608171115,88,5.79,0.9,27.0,3.1
São Filipe,100,CV,1608171115,73,14.9,-24.5,22.73,6.61
Trelew,5,AR,1608170991,23,-43.25,-65.31,20.96,8.66
Petropavlovsk-Kamchatskiy,95,RU,1608170830,68,53.05,158.65,-1.0,2.0
Manuk Mangkaw,100,PH,1608171115,73,4.8,119.85,27.85,1.63
Tazovsky,100,RU,1608171115,93,67.47,78.7,-17.8,7.45
Sola,15,VU,1608171116,79,-13.88,167.55,27.66,6.0
Mattru,99,SL,1608171116,94,7.62,-11.83,23.74,1.44
Ust-Nera,88,RU,1608171116,76,64.57,143.2,-32.31,2.12
Kasane,100,BW,1608171116,91,-17.82,25.15,20.52,2.42
Bartlesville,90,US,1608170994,74,36.75,-95.98,1.0,2.2
Lumut,20,MY,1608171116,94,4.23,100.63,25.0,1.13
Tuktoyaktuk,20,CA,1608171116,74,69.45,-133.04,-32.0,1.5
Isiro,100,CD,1608171116,59,2.77,27.62,17.75,1.2
Kieta,100,PG,1608171117,72,-6.22,155.63,29.6,2.33
Lagoa,100,PT,1608171117,89,39.05,-27.98,17.51,13.07
Saint Anthony,90,US,1608170961,58,45.02,-93.22,-2.0,3.6
Weligama,100,LK,1608171117,82,5.97,80.42,23.89,2.54
Kruisfontein,15,ZA,1608171117,86,-34.0,24.73,17.78,0.45
Muslyumovo,59,RU,1608171117,96,55.3,53.19,-10.73,2.45
Aksarka,100,RU,1608171118,94,66.56,67.8,-11.68,7.08
Bandarbeyla,5,SO,1608171118,75,9.49,50.81,23.21,8.03
Rocha,0,UY,1608171118,95,-34.48,-54.33,14.17,2.88
San Patricio,1,US,1608171118,40,28.02,-97.52,11.0,2.6
Ulaangom,96,MN,1608171118,84,49.98,92.07,-22.77,0.46
Ilhabela,68,BR,1608171118,86,-23.78,-45.36,24.08,0.89
Rognan,0,NO,1608171118,55,67.1,15.39,2.0,9.3
Dwārka,0,IN,1608171118,60,22.24,68.97,19.36,8.46
Havelock,90,US,1608170887,100,34.88,-76.9,12.22,4.6
Pangody,100,RU,1608171119,95,65.85,74.49,-14.13,6.07
Reconquista,6,AR,1608171012,71,-29.15,-59.65,22.36,2.16
Boden,91,SE,1608171119,86,65.83,21.69,-2.0,3.6
Balyqshy,100,KZ,1608171119,68,47.07,51.87,-2.0,7.0
Valparaíso,0,CL,1608171119,93,-33.04,-71.63,13.0,1.0
Pargas,90,FI,1608171098,86,60.31,22.3,4.0,3.6
Vostok,100,RU,1608171120,88,46.49,135.88,-21.91,2.3
Murindó,100,CO,1608171120,95,6.98,-76.75,23.31,0.99
Husavik,90,IS,1608170882,90,66.04,-17.34,2.0,5.1
Palmer,90,US,1608171120,49,42.16,-72.33,-4.44,4.6
Marawi,98,PH,1608171120,80,8.0,124.29,27.78,2.24
Mineros,75,BO,1608171120,88,-17.12,-63.23,24.0,5.7
Penzance,3,GB,1608171120,81,50.12,-5.54,9.0,7.7
